Timestamp,Injection_Temperature,Injection_Pressure,Cycle_Time,Cooling_Time,Material_Viscosity,Ambient_Temperature,Machine_Age,Operator_Experience,Maintenance_Hours,Shift,Machine_Type,Material_Grade,Day_of_Week,Temperature_Pressure_Ratio,Total_Cycle_Time,Efficiency_Score,Machine_Utilization,Parts_Per_Hour
2023-01-02 06:00:00,207.8,111.1,27.3,9.6,367.0,21.7,1.1,22.3,54,Night,Type_C,Premium,Monday,1.87,36.9,0.136,0.675,30.6
2023-01-02 07:00:00,237.2,90.0,40.0,11.2,201.1,23.0,12.3,1.7,50,Evening,Type_A,Economy,Monday,2.637,51.2,0.011,0.134,16.5
2023-01-02 08:00:00,214.8,121.0,39.0,10.5,192.1,24.9,3.5,12.3,54,Day,Type_B,Economy,Tuesday,1.776,49.4,0.075,0.561,22.3
2023-01-02 09:00:00,202.3,124.7,41.9,10.2,250.3,21.8,9.5,52.4,47,Night,Type_A,Standard,Thursday,1.622,52.1,0.334,0.281,23.0
2023-01-02 10:00:00,224.9,107.8,35.0,14.4,300.6,21.3,5.7,25.2,42,Day,Type_A,Standard,Sunday,2.087,49.5,0.166,0.489,34.4
2023-01-02 11:00:00,200.3,138.6,17.7,8.6,234.5,20.0,9.2,19.0,47,Evening,Type_C,Premium,Saturday,1.445,26.3,0.121,0.296,43.6
2023-01-02 12:00:00,217.5,96.6,34.6,16.0,347.2,25.8,5.4,11.1,56,Night,Type_A,Economy,Saturday,2.251,50.6,0.067,0.46,22.4
2023-01-02 13:00:00,191.5,93.0,45.0,14.1,286.9,23.3,2.2,11.6,47,Evening,Type_B,Standard,Tuesday,2.058,59.1,0.074,0.652,15.0
2023-01-02 14:00:00,199.1,118.4,45.0,14.7,127.3,28.0,4.1,15.5,56,Night,Type_B,Premium,Tuesday,1.682,59.7,0.093,0.522,17.0
2023-01-02 15:00:00,217.4,130.7,37.5,10.8,208.8,22.4,3.6,55.2,44,Evening,Type_A,Standard,Monday,1.663,48.4,0.359,0.591,38.3
2023-01-02 16:00:00,223.9,140.3,39.0,11.6,206.7,22.6,7.0,103.5,42,Night,Type_A,Premium,Saturday,1.596,50.6,0.682,0.422,46.3
2023-01-02 17:00:00,217.1,108.1,45.0,8.4,282.5,23.3,10.2,18.3,44,Night,Type_B,Standard,Monday,2.008,53.4,0.119,0.249,15.0
2023-01-02 18:00:00,213.6,131.2,45.0,10.7,111.3,25.0,4.7,16.0,49,Day,Type_A,Standard,Thursday,1.628,55.7,0.101,0.519,22.1
2023-01-02 19:00:00,211.4,114.4,36.3,13.2,400.0,23.6,1.2,57.2,49,Day,Type_C,Standard,Tuesday,1.847,49.6,0.36,0.696,35.8
2023-01-02 20:00:00,197.3,112.4,45.0,15.2,286.9,25.8,8.3,17.7,48,Day,Type_C,Standard,Tuesday,1.755,60.2,0.112,0.341,15.0
2023-01-02 21:00:00,206.4,128.3,29.9,9.2,255.9,22.7,9.5,25.1,51,Evening,Type_A,Premium,Sunday,1.609,39.2,0.156,0.274,39.7
2023-01-02 22:00:00,209.5,124.8,24.0,11.1,348.8,21.9,14.5,8.9,42,Day,Type_A,Standard,Saturday,1.679,35.1,0.058,0.027,39.1
2023-01-02 23:00:00,227.7,91.4,30.9,11.6,400.0,21.1,9.3,41.8,43,Day,Type_B,Premium,Saturday,2.492,42.6,0.274,0.301,36.4
2023-01-03 00:00:00,219.1,137.1,45.0,8.5,317.7,20.3,7.6,23.8,47,Day,Type_B,Economy,Thursday,1.598,53.5,0.152,0.378,15.0
2023-01-03 01:00:00,193.8,135.7,45.0,13.5,325.3,23.7,9.0,50.7,34,Night,Type_A,Premium,Saturday,1.428,58.5,0.35,0.33,19.0
2023-01-03 02:00:00,218.9,105.6,24.6,10.2,254.5,24.2,14.0,46.5,54,Evening,Type_A,Standard,Friday,2.072,34.8,0.283,0.049,43.6
2023-01-03 03:00:00,210.4,120.9,45.0,11.5,234.5,23.5,12.6,8.3,57,Day,Type_B,Standard,Sunday,1.74,56.5,0.049,0.115,15.0
2023-01-03 04:00:00,206.9,122.4,25.2,10.9,212.1,27.3,5.5,38.7,52,Day,Type_C,Standard,Tuesday,1.69,36.0,0.239,0.468,46.7
2023-01-03 05:00:00,222.3,118.9,41.6,10.0,191.0,27.3,4.3,49.3,50,Day,Type_A,Standard,Thursday,1.87,51.7,0.308,0.534,34.7
2023-01-03 06:00:00,227.4,106.7,26.6,12.0,199.1,,4.7,13.7,49,Day,Type_B,Standard,Friday,2.13,38.6,0.086,0.52,40.2
2023-01-03 07:00:00,226.2,104.9,24.3,11.5,163.2,21.3,8.1,6.7,49,Day,Type_C,Standard,Wednesday,2.156,35.7,0.042,0.349,44.2
2023-01-03 08:00:00,204.9,114.6,45.0,11.1,239.2,23.8,11.4,1.1,43,Night,Type_B,Standard,Saturday,1.788,56.1,0.007,0.188,15.0
2023-01-03 09:00:00,211.3,132.6,32.3,10.2,147.6,23.8,8.0,19.0,46,Night,Type_B,Standard,Sunday,1.594,42.5,0.122,0.357,31.7
2023-01-03 10:00:00,219.0,123.2,45.0,12.8,259.1,23.7,1.9,14.0,57,Day,Type_B,Standard,Thursday,1.778,57.8,0.084,0.622,20.0
2023-01-03 11:00:00,226.7,109.4,36.9,16.1,242.0,23.6,11.1,25.3,68,Day,Type_C,Standard,Wednesday,2.071,53.0,0.139,0.17,27.6
2023-01-03 12:00:00,209.2,126.6,25.7,12.3,255.7,23.7,12.3,7.2,62,Day,Type_B,Standard,Thursday,1.653,38.1,0.042,0.125,38.0
2023-01-03 13:00:00,212.8,80.0,33.5,14.5,209.2,24.3,5.1,59.9,55,Day,Type_C,Premium,Saturday,2.66,48.0,0.362,0.481,36.8
2023-01-03 14:00:00,201.7,132.2,25.8,8.5,400.0,23.8,10.3,9.9,44,Day,Type_B,Standard,Friday,1.526,34.3,0.065,0.245,35.4
2023-01-03 15:00:00,200.6,88.9,45.0,12.4,368.0,25.6,7.0,8.7,55,Day,Type_B,Premium,Monday,2.257,57.4,0.053,0.388,15.0
2023-01-03 16:00:00,224.8,109.6,45.0,9.3,168.4,,13.4,20.7,56,Day,Type_A,Premium,Thursday,2.051,54.3,0.124,0.075,21.1
2023-01-03 17:00:00,231.3,98.2,36.6,8.3,262.4,23.4,12.8,21.7,57,Evening,Type_A,Standard,Monday,2.355,44.9,0.129,0.103,25.2
2023-01-03 18:00:00,214.1,95.6,44.3,10.2,203.9,27.8,8.4,8.3,42,Evening,Type_C,Economy,Saturday,2.24,54.5,0.054,0.35,15.0
2023-01-03 19:00:00,227.0,132.4,45.0,15.0,180.5,23.3,10.7,10.5,48,Evening,Type_A,Economy,Wednesday,1.715,60.0,0.067,0.219,21.1
2023-01-03 20:00:00,219.3,108.0,45.0,14.4,163.7,,13.4,6.6,56,Day,Type_B,Premium,Thursday,2.031,59.4,0.039,0.078,15.0
2023-01-03 21:00:00,207.3,120.2,45.0,12.6,278.6,26.1,7.9,39.0,47,Night,Type_A,Standard,Saturday,1.724,57.6,0.249,0.36,15.0
2023-01-03 22:00:00,219.3,114.3,45.0,8.2,199.5,23.7,5.4,45.1,45,Night,Type_C,Standard,Monday,1.919,53.2,0.291,0.497,15.0
2023-01-03 23:00:00,233.5,122.2,37.7,11.5,327.1,26.0,11.6,19.6,56,Day,Type_A,Premium,Tuesday,1.911,49.2,0.118,0.166,33.6
2023-01-04 00:00:00,214.6,116.2,45.0,12.8,329.7,20.6,4.1,38.6,53,Day,Type_C,Standard,Wednesday,1.847,57.8,0.236,0.535,19.0
2023-01-04 01:00:00,233.8,95.8,38.6,12.4,369.5,28.0,6.4,40.9,40,Evening,Type_B,Standard,Tuesday,2.441,51.0,0.273,0.457,23.2
2023-01-04 02:00:00,183.6,129.9,37.0,8.0,189.5,26.8,13.1,5.5,54,Day,Type_A,Economy,Wednesday,1.413,45.0,0.033,0.091,18.8
2023-01-04 03:00:00,224.9,107.6,38.7,9.8,282.2,,11.1,102.6,60,Day,Type_B,Premium,Sunday,2.09,48.5,0.598,0.18,33.4
2023-01-04 04:00:00,216.0,91.7,39.7,11.8,295.8,22.5,6.7,52.6,43,Evening,Type_A,Standard,Saturday,2.357,51.5,0.344,0.437,34.4
2023-01-04 05:00:00,211.4,108.6,21.5,13.3,212.2,28.0,4.0,7.9,50,Evening,Type_A,Economy,Saturday,1.947,34.8,0.049,0.55,41.7
2023-01-04 06:00:00,216.1,137.5,27.2,8.0,194.1,24.0,6.0,7.2,67,Day,Type_A,Standard,Sunday,1.572,35.2,0.04,0.4,42.0
2023-01-04 07:00:00,191.1,127.8,35.0,11.6,396.6,23.8,5.0,5.0,54,Evening,Type_A,Economy,Wednesday,1.496,46.6,0.031,0.488,19.9
2023-01-04 08:00:00,212.4,109.8,21.3,12.4,262.0,21.0,3.5,5.5,58,Night,Type_C,Premium,Tuesday,1.935,33.6,0.032,0.546,41.1
2023-01-04 09:00:00,219.3,109.8,36.6,14.1,296.1,24.9,11.4,42.4,44,Day,Type_A,Standard,Tuesday,1.998,50.7,0.275,0.187,32.1
2023-01-04 10:00:00,232.7,110.2,39.5,13.7,191.2,25.1,4.5,20.0,47,Evening,Type_B,Standard,Saturday,2.112,53.2,0.128,0.534,26.3
2023-01-04 11:00:00,208.8,146.2,23.7,13.5,169.7,27.0,7.4,46.8,51,Day,Type_A,Premium,Friday,1.429,37.2,0.291,0.38,60.0
2023-01-04 12:00:00,205.3,120.7,29.3,10.0,206.3,22.8,6.4,42.1,53,Day,Type_B,Standard,Tuesday,1.7,39.3,0.258,0.421,39.7
2023-01-04 13:00:00,209.0,121.5,45.0,8.0,235.8,22.6,14.7,28.8,59,Evening,Type_A,Standard,Wednesday,1.721,53.0,0.169,0.012,15.6
2023-01-04 14:00:00,226.0,130.5,44.5,11.0,177.8,26.6,6.5,35.8,59,Day,Type_B,Premium,Thursday,1.732,55.5,0.21,0.401,32.0
2023-01-04 15:00:00,218.9,118.6,43.5,14.5,244.0,27.7,2.1,1.6,41,Day,Type_B,Standard,Thursday,1.846,58.0,0.01,0.683,16.8
2023-01-04 16:00:00,208.6,111.1,45.0,15.5,147.4,22.5,2.3,12.2,52,Day,Type_B,Standard,Saturday,1.878,60.5,0.075,0.629,17.5
2023-01-04 17:00:00,221.2,112.1,27.4,13.8,174.9,27.9,9.3,31.5,64,Evening,Type_A,Standard,Wednesday,1.974,41.2,0.178,0.26,47.8
2023-01-04 18:00:00,216.2,113.9,23.8,13.1,299.2,25.8,9.4,1.3,50,Evening,Type_B,Economy,Sunday,1.897,36.8,0.008,0.28,35.2
2023-01-04 19:00:00,226.6,114.4,45.0,12.9,293.3,27.9,6.9,2.0,53,Day,Type_A,Standard,Wednesday,1.98,57.9,0.012,0.399,17.1
2023-01-04 20:00:00,206.6,125.9,35.4,10.6,217.6,25.6,7.0,58.3,45,Evening,Type_A,Standard,Friday,1.641,46.0,0.376,0.411,39.6
2023-01-04 21:00:00,211.1,115.8,27.2,11.7,180.3,20.7,1.8,35.6,54,Day,Type_B,Economy,Sunday,1.823,38.9,0.216,0.645,48.3
2023-01-04 22:00:00,210.3,126.0,21.5,16.2,179.8,25.5,8.2,10.3,57,Evening,Type_B,Economy,Sunday,1.669,37.6,0.061,0.323,37.5
2023-01-04 23:00:00,197.4,113.8,38.8,9.6,218.8,27.9,8.1,,66,Day,Type_B,Premium,Monday,1.735,48.5,0.201,0.31,27.1
2023-01-05 00:00:00,218.6,116.2,33.9,16.0,,24.0,3.1,,40,Evening,Type_B,Standard,Tuesday,1.881,50.0,0.321,0.635,35.5
2023-01-05 01:00:00,218.1,85.0,32.0,11.2,323.3,25.0,2.5,12.0,50,Night,Type_A,Premium,Thursday,2.565,43.2,0.075,0.627,29.5
2023-01-05 02:00:00,215.1,128.7,18.5,15.3,210.8,25.5,2.7,2.1,36,Night,Type_A,Premium,Wednesday,1.67,33.8,0.014,0.671,41.1
2023-01-05 03:00:00,212.2,120.2,45.0,8.5,173.1,20.0,2.4,82.0,52,Day,Type_A,Standard,Friday,1.765,53.5,0.506,0.621,31.4
2023-01-05 04:00:00,198.0,130.0,22.6,13.5,265.2,28.0,9.5,13.7,61,Night,Type_B,Standard,Sunday,1.524,36.1,0.079,0.253,32.5
2023-01-05 05:00:00,210.0,80.0,33.0,10.2,191.1,24.1,3.8,4.4,49,Day,Type_B,Economy,Monday,2.624,43.2,0.028,0.566,25.4
2023-01-05 06:00:00,210.9,146.3,31.2,8.5,209.5,26.9,4.5,21.3,47,Night,Type_A,Standard,Thursday,1.441,39.7,0.136,0.534,40.9
2023-01-05 07:00:00,205.4,112.9,45.0,12.5,364.2,25.7,3.4,,48,Day,Type_B,Economy,Tuesday,1.819,57.5,0.284,0.586,19.3
2023-01-05 08:00:00,213.1,131.6,21.5,14.5,313.6,28.0,14.4,8.5,50,Day,Type_B,Standard,Saturday,1.619,36.0,0.053,0.03,36.2
2023-01-05 09:00:00,219.8,99.4,43.0,9.9,,26.7,13.0,10.4,35,Day,Type_B,Standard,Sunday,2.212,52.8,0.072,0.112,15.0
2023-01-05 10:00:00,237.6,124.2,38.9,8.3,167.1,25.4,4.2,9.3,57,Day,Type_B,Standard,Thursday,1.913,47.2,0.056,0.514,35.6
2023-01-05 11:00:00,217.1,99.2,28.8,11.8,260.7,24.1,5.6,120.0,59,Evening,Type_B,Economy,Monday,2.188,40.6,0.705,0.442,47.0
2023-01-05 12:00:00,218.1,105.6,42.4,11.8,336.6,27.5,3.9,7.6,58,Night,Type_B,Standard,Saturday,2.064,54.2,0.045,0.524,15.0
2023-01-05 13:00:00,214.1,143.7,36.6,13.4,218.6,22.2,7.9,26.7,52,Evening,Type_A,Standard,Friday,1.49,50.0,0.165,0.351,35.7
2023-01-05 14:00:00,192.0,112.1,45.0,14.4,367.0,27.2,1.3,78.8,36,Evening,Type_A,Economy,Wednesday,1.712,59.4,0.539,0.75,18.6
2023-01-05 15:00:00,214.7,118.3,33.9,11.9,360.6,23.8,10.4,5.8,41,Evening,Type_A,Premium,Saturday,1.815,45.8,0.038,0.244,30.2
2023-01-05 16:00:00,215.7,128.1,26.1,16.6,400.0,28.0,8.3,107.1,50,Day,Type_B,Standard,Sunday,1.685,42.8,0.669,0.334,45.2
2023-01-05 17:00:00,244.6,122.4,43.1,12.6,268.2,26.3,13.6,89.4,57,Day,Type_C,Economy,Thursday,1.997,55.7,0.533,0.068,25.4
2023-01-05 18:00:00,212.7,117.3,32.5,11.1,291.8,27.3,3.3,65.8,52,Day,Type_B,Economy,Thursday,1.814,43.6,0.406,0.577,37.3
2023-01-05 19:00:00,218.6,120.5,36.3,8.0,374.0,26.1,12.3,8.2,49,Day,Type_A,Standard,Tuesday,1.815,44.3,0.052,0.138,22.3
2023-01-05 20:00:00,214.6,150.0,23.8,11.3,279.8,22.5,12.1,31.2,58,Day,Type_C,Standard,Thursday,1.431,35.2,0.184,0.138,47.8
2023-01-05 21:00:00,201.0,114.1,45.0,11.2,210.5,24.3,2.8,43.9,59,Day,Type_C,Standard,Wednesday,1.761,56.2,0.258,0.574,20.5
2023-01-05 22:00:00,228.7,118.0,30.8,14.4,213.9,27.3,6.6,120.0,40,Day,Type_C,Standard,Wednesday,1.938,45.2,0.8,0.449,51.4
2023-01-05 23:00:00,224.0,130.8,40.0,13.2,262.8,26.3,3.4,7.0,52,Day,Type_B,Standard,Monday,1.713,53.2,0.043,0.573,25.1
2023-01-06 00:00:00,224.5,131.6,45.0,9.1,166.1,28.0,4.6,44.6,55,Night,Type_C,Standard,Tuesday,1.706,54.1,0.269,0.504,15.0
2023-01-06 01:00:00,204.1,132.8,33.3,12.4,234.4,26.8,4.7,13.4,46,Day,Type_A,Standard,Tuesday,1.537,45.7,0.086,0.529,36.4
2023-01-06 02:00:00,231.8,124.6,45.0,13.7,340.0,24.1,8.8,6.8,55,Evening,Type_A,Standard,Thursday,1.861,58.7,0.041,0.3,15.0
2023-01-06 03:00:00,198.2,97.9,34.1,15.8,126.8,24.4,6.8,17.4,58,Evening,Type_A,Standard,Friday,2.025,49.9,0.103,0.39,26.4
2023-01-06 04:00:00,222.0,139.5,28.9,14.2,387.7,26.2,14.3,48.4,52,Evening,Type_B,Standard,Friday,1.592,43.1,0.298,0.036,40.7
2023-01-06 05:00:00,241.3,97.8,45.0,13.9,342.7,21.4,2.8,19.8,59,Day,Type_A,Standard,Wednesday,2.467,58.9,0.116,0.575,19.6
2023-01-06 06:00:00,203.1,119.5,20.1,12.2,213.2,28.0,14.6,24.1,43,Day,Type_B,Standard,Wednesday,1.699,32.2,0.158,0.019,43.1
2023-01-06 07:00:00,208.2,103.7,45.0,13.0,288.0,26.9,4.2,120.0,49,Day,Type_B,Premium,Saturday,2.008,58.0,0.755,0.542,21.5
2023-01-06 08:00:00,216.2,114.0,19.6,15.1,244.9,28.0,11.8,16.3,61,Day,Type_A,Premium,Thursday,1.896,34.7,0.094,0.147,47.9
2023-01-06 09:00:00,209.0,119.9,45.0,8.7,353.9,22.8,5.7,29.7,26,Day,Type_C,Premium,Sunday,1.742,53.7,0.215,0.537,15.0
2023-01-06 10:00:00,196.4,119.8,36.5,11.1,328.6,28.0,3.0,14.6,52,Evening,Type_A,Standard,Wednesday,1.639,47.6,0.09,0.592,27.4
2023-01-06 11:00:00,215.8,121.3,26.1,10.1,160.8,28.0,13.0,16.0,46,Evening,Type_A,Standard,Friday,1.779,36.2,0.102,0.102,38.4
2023-01-06 12:00:00,202.3,139.2,31.4,12.9,291.8,23.3,5.3,36.7,47,Evening,Type_C,Premium,Monday,1.453,44.4,0.234,0.493,38.2
2023-01-06 13:00:00,220.7,121.8,45.0,15.1,,27.5,10.2,84.4,42,Day,Type_A,Premium,Friday,1.812,60.1,0.555,0.252,28.6
2023-01-06 14:00:00,204.0,111.3,45.0,10.5,250.8,26.0,8.9,24.5,44,Day,Type_B,Standard,Saturday,1.832,55.5,0.159,0.316,16.8
2023-01-06 15:00:00,233.6,129.5,21.7,8.0,196.7,22.9,7.6,44.9,59,Night,Type_C,Standard,Sunday,1.804,29.7,0.264,0.348,49.8
2023-01-06 16:00:00,205.6,132.8,26.6,11.0,400.0,27.0,7.9,3.8,48,Day,Type_C,Economy,Sunday,1.548,37.6,0.024,0.358,24.2
2023-01-06 17:00:00,211.1,96.6,23.2,14.3,334.3,27.6,11.3,8.1,51,Evening,Type_C,Standard,Tuesday,2.186,37.5,0.05,0.186,25.9
2023-01-06 18:00:00,224.8,124.0,34.0,13.3,196.0,24.8,2.2,21.9,46,Evening,Type_A,Standard,Thursday,1.813,47.3,0.141,0.656,41.9
2023-01-06 19:00:00,200.2,125.5,45.0,13.1,164.0,28.0,10.4,1.6,50,Day,Type_B,Standard,Thursday,1.595,58.1,0.01,0.232,15.0
2023-01-06 20:00:00,217.7,110.5,22.4,11.3,218.0,22.6,13.5,9.7,60,Day,Type_A,Standard,Thursday,1.97,33.7,0.057,0.068,35.2
2023-01-06 21:00:00,230.7,135.6,36.2,8.8,278.8,22.9,1.8,22.9,41,Day,Type_A,Premium,Tuesday,1.701,45.0,0.151,0.699,47.2
2023-01-06 22:00:00,195.7,112.7,45.0,13.3,263.0,26.2,3.0,1.5,53,Day,Type_A,Premium,Saturday,1.736,58.3,0.009,0.59,15.0
2023-01-06 23:00:00,217.2,116.9,31.3,9.9,356.4,26.0,11.0,,48,Day,Type_A,Premium,Sunday,1.858,41.2,0.065,0.201,34.9
2023-01-07 00:00:00,218.1,112.4,39.0,17.5,310.1,24.5,7.1,22.6,44,Day,Type_C,Standard,Wednesday,1.94,56.5,0.147,0.41,21.7
2023-01-07 01:00:00,224.4,115.2,45.0,13.4,327.3,27.5,6.6,26.5,55,Day,Type_A,Standard,Tuesday,1.947,58.4,0.16,0.404,21.3
2023-01-07 02:00:00,200.2,98.6,25.2,10.5,269.9,27.0,2.9,79.0,64,Evening,Type_B,Premium,Monday,2.031,35.7,0.448,0.548,44.7
2023-01-07 03:00:00,199.2,93.4,20.5,10.5,161.3,27.6,8.1,32.1,49,Night,Type_B,Standard,Friday,2.132,31.0,0.202,0.348,39.2
2023-01-07 04:00:00,221.3,138.9,40.8,11.8,230.7,25.6,2.8,17.1,54,Day,Type_B,Standard,Wednesday,1.593,52.6,0.104,0.595,28.4
2023-01-07 05:00:00,218.6,102.3,41.2,11.4,336.3,27.1,7.7,80.9,60,Night,Type_C,Standard,Sunday,2.137,52.6,0.472,0.342,22.8
2023-01-07 06:00:00,218.0,100.1,30.6,14.8,240.9,25.0,11.7,47.1,46,Night,Type_A,Standard,Friday,2.177,45.4,0.302,0.17,31.2
2023-01-07 07:00:00,219.2,82.7,28.7,12.5,284.6,28.0,4.6,7.7,31,Night,Type_B,Standard,Friday,2.65,41.1,0.054,0.585,30.1
2023-01-07 08:00:00,206.8,105.4,36.8,10.2,222.4,,7.7,5.2,59,Night,Type_B,Economy,Thursday,1.962,47.0,0.031,0.342,15.0
2023-01-07 09:00:00,217.8,95.2,25.0,16.7,179.7,,14.9,34.8,53,Day,Type_A,Premium,Monday,2.289,41.8,0.213,0.005,42.1
2023-01-07 10:00:00,218.5,139.6,25.1,12.1,235.8,25.9,10.6,25.6,58,Day,Type_B,Standard,Sunday,1.565,37.2,0.152,0.208,46.5
2023-01-07 11:00:00,206.4,130.1,45.0,13.9,268.5,23.0,12.8,47.8,59,Evening,Type_C,Standard,Friday,1.586,58.9,0.281,0.104,15.0
2023-01-07 12:00:00,237.4,104.7,24.6,10.5,,28.0,6.8,41.3,63,Evening,Type_A,Standard,Sunday,2.268,35.0,0.236,0.374,54.3
2023-01-07 13:00:00,220.7,148.8,20.8,12.9,,26.0,11.8,30.4,45,Night,Type_A,Standard,Thursday,1.483,33.7,0.197,0.168,51.9
2023-01-07 14:00:00,200.7,129.7,28.6,12.8,184.6,27.4,1.6,120.0,51,Night,Type_A,Economy,Friday,1.547,41.4,0.745,0.667,48.3
2023-01-07 15:00:00,222.9,110.1,30.8,8.0,342.3,28.0,2.7,23.9,52,Evening,Type_C,Economy,Monday,2.024,38.8,0.147,0.606,32.0
2023-01-07 16:00:00,203.3,80.0,43.0,17.0,224.0,26.4,3.8,4.6,53,Day,Type_B,Standard,Friday,2.541,60.0,0.028,0.547,15.0
2023-01-07 17:00:00,224.4,149.4,29.4,15.2,378.4,24.5,6.6,53.9,54,Day,Type_B,Standard,Saturday,1.503,44.7,0.328,0.407,51.3
